time,angle,vel,accel,dis,turn_point
0.00,30.0000,0.0000,0.0000,0.0000,1
0.02,29.8876,-0.0981,-4.9050,-0.0020,0
0.04,29.6610,-0.1958,-4.8870,-0.0059,0
0.06,29.3264,-0.2928,-4.8510,-0.0118,0
0.08,28.8785,-0.3887,-4.7958,-0.0196,0
0.10,28.3234,-0.4831,-4.7225,-0.0293,0
0.12,27.6615,-0.5757,-4.6307,-0.0408,0
0.14,26.8990,-0.6661,-4.5213,-0.0541,0
0.16,26.0363,-0.7540,-4.3941,-0.0692,0
0.18,25.0737,-0.8390,-4.2490,-0.0860,0
0.20,24.0175,-0.9207,-4.0868,-0.1044,0
0.22,22.8737,-0.9989,-3.9082,-0.1244,0
0.24,21.6426,-1.0732,-3.7132,-0.1459,0
0.26,20.3305,-1.1433,-3.5026,-0.1688,0
0.28,18.9432,-1.2088,-3.2773,-0.1930,0
0.30,17.4871,-1.2696,-3.0383,-0.2184,0
0.32,15.9679,-1.3253,-2.7866,-0.2449,0
0.34,14.3918,-1.3758,-2.5231,-0.2724,0
0.36,12.7645,-1.4208,-2.2492,-0.3008,0
0.38,11.0923,-1.4601,-1.9658,-0.3300,0
0.40,9.3809,-1.4936,-1.6742,-0.3599,0
0.42,7.6362,-1.5211,-1.3757,-0.3903,0
0.44,5.8698,-1.5425,-1.0724,-0.4212,0
0.46,4.0819,-1.5578,-0.7649,-0.4524,0
0.48,2.2838,-1.5669,-0.4552,-0.4837,0
0.50,0.4872,-1.5698,-0.1458,-0.5151,0
0.52,-1.3082,-1.5665,0.1630,-0.5464,0
0.54,-3.0907,-1.5571,0.4690,-0.5775,0
0.56,-4.8550,-1.5417,0.7710,-0.6083,0
0.58,-6.5952,-1.5203,1.0676,-0.6387,0
0.60,-8.3058,-1.4931,1.3578,-0.6686,0
0.62,-9.9813,-1.4603,1.6404,-0.6978,0
0.64,-11.6105,-1.4220,1.9135,-0.7262,0
0.66,-13.1878,-1.3785,2.1761,-0.7538,0
0.68,-14.7136,-1.3299,2.4284,-0.7804,0
0.70,-16.1764,-1.2765,2.6685,-0.8059,0
0.72,-17.5711,-1.2186,2.8957,-0.8303,0
0.74,-18.8978,-1.1564,3.1103,-0.8534,0
0.76,-20.1455,-1.0902,3.3107,-0.8752,0
0.78,-21.3144,-1.0203,3.4974,-0.8956,0
0.80,-22.3992,-0.9469,3.6698,-0.9145,0
0.82,-23.3943,-0.8704,3.8275,-0.9319,0
0.84,-24.3003,-0.7910,3.9708,-0.9477,0
0.86,-25.1117,-0.7090,4.0994,-0.9619,0
0.88,-25.8287,-0.6247,4.2136,-0.9744,0
0.90,-26.4460,-0.5384,4.3131,-0.9852,0
0.92,-26.9640,-0.4504,4.3982,-0.9942,0
0.94,-27.3772,-0.3610,4.4683,-1.0014,0
0.96,-27.6860,-0.2705,4.5239,-1.0068,0
0.98,-27.8907,-0.1792,4.5652,-1.0104,0
1.00,-27.9918,-0.0874,4.5923,-1.0121,0
1.02,-27.9837,0.0047,4.6046,-1.0120,1
1.04,-27.8725,0.0968,4.6030,-1.0101,0
1.06,-27.6585,0.1885,4.5856,-1.0063,0
1.08,-27.3365,0.2795,4.5500,-1.0007,0
1.10,-26.9125,0.3694,4.4970,-0.9933,0
1.12,-26.3872,0.4579,4.4265,-0.9841,0
1.14,-25.7606,0.5447,4.3386,-0.9732,0
1.16,-25.0390,0.6294,4.2338,-0.9606,0
1.18,-24.2228,0.7116,4.1122,-0.9464,0
1.20,-23.3182,0.7911,3.9746,-0.9306,0
1.22,-22.3254,0.8675,3.8208,-0.9132,0
1.24,-21.2447,0.9405,3.6517,-0.8944,0
1.26,-20.0882,1.0098,3.4663,-0.8742,0
1.28,-18.8559,1.0751,3.2674,-0.8527,0
1.30,-17.5541,1.1362,3.0549,-0.8300,0
1.32,-16.1887,1.1928,2.8299,-0.8061,0
1.34,-14.7599,1.2446,2.5923,-0.7812,0
1.36,-13.2795,1.2915,2.3443,-0.7554,0
1.38,-11.7535,1.3332,2.0869,-0.7287,0
1.40,-10.1820,1.3696,1.8202,-0.7013,0
1.42,-8.5766,1.4005,1.5465,-0.6733,0
1.44,-6.9434,1.4258,1.2669,-0.6448,0
1.46,-5.2880,1.4455,0.9828,-0.6159,0
1.48,-3.6161,1.4594,0.6952,-0.5867,0
1.50,-1.9338,1.4675,0.4056,-0.5573,0
1.52,-0.2466,1.4698,0.1162,-0.5279,0
1.54,1.4338,1.4663,-0.1738,-0.4986,0
1.56,3.1020,1.4571,-0.4602,-0.4695,0
1.58,4.7523,1.4422,-0.7428,-0.4407,0
1.60,6.3790,1.4218,-1.0203,-0.4123,0
1.62,7.9766,1.3960,-1.2918,-0.3844,0
1.64,9.5395,1.3649,-1.5560,-0.3571,0
1.66,11.0622,1.3287,-1.8121,-0.3305,0
1.68,12.5391,1.2875,-2.0591,-0.3047,0
1.70,13.9647,1.2416,-2.2951,-0.2799,0
1.72,15.3279,1.1912,-2.5213,-0.2561,0
1.74,16.6289,1.1365,-2.7349,-0.2334,0
1.76,17.8622,1.0778,-2.9362,-0.2118,0
1.78,19.0282,1.0153,-3.1256,-0.1915,0
1.80,20.1156,0.9493,-3.3014,-0.1725,0
1.82,21.1249,0.8800,-3.4641,-0.1549,0
1.84,22.0505,0.8077,-3.6130,-0.1387,0
1.86,22.8927,0.7327,-3.7486,-0.1240,0
1.88,23.6462,0.6553,-3.8703,-0.1109,0
1.90,24.3057,0.5757,-3.9776,-0.0994,0
1.92,24.8712,0.4943,-4.0709,-0.0895,0
1.94,25.3433,0.4113,-4.1505,-0.0813,0
1.96,25.7165,0.3270,-4.2158,-0.0748,0
1.98,25.9912,0.2417,-4.2671,-0.0700,0
2.00,26.1676,0.1556,-4.3046,-0.0669,0
2.02,26.2460,0.0690,-4.3285,-0.0655,0
2.04,26.2268,-0.0178,-4.3389,-0.0659,1
2.06,26.1045,-0.1045,-4.3349,-0.0680,0
2.08,25.8852,-0.1908,-4.3153,-0.0718,0
2.10,25.5694,-0.2764,-4.2793,-0.0773,0
2.12,25.1574,-0.3609,-4.2267,-0.0845,0
2.14,24.6497,-0.4440,-4.1575,-0.0934,0
2.16,24.0465,-0.5254,-4.0716,-0.1039,0
2.18,23.3539,-0.6048,-3.9698,-0.1160,0
2.20,22.5724,-0.6818,-3.8522,-0.1296,0
2.22,21.7079,-0.7562,-3.7194,-0.1447,0
2.24,20.7609,-0.8276,-3.5715,-0.1613,0
2.26,19.7317,-0.8958,-3.4084,-0.1792,0
2.28,18.6320,-0.9604,-3.2319,-0.1984,0
2.30,17.4623,-1.0212,-3.0420,-0.2188,0
2.32,16.2284,-1.0780,-2.8397,-0.2404,0
2.34,14.9306,-1.1305,-2.6250,-0.2630,0
2.36,13.5807,-1.1785,-2.3998,-0.2866,0
2.38,12.1790,-1.2218,-2.1644,-0.3110,0
2.40,10.7369,-1.2602,-1.9207,-0.3362,0
2.42,9.2548,-1.2936,-1.6688,-0.3621,0
2.44,7.7385,-1.3218,-1.4101,-0.3885,0
2.46,6.1996,-1.3447,-1.1466,-0.4154,0
2.48,4.6383,-1.3623,-0.8786,-0.4426,0
2.50,3.0659,-1.3745,-0.6082,-0.4701,0
2.52,1.4825,-1.3812,-0.3357,-0.4977,0
2.54,-0.1003,-1.3825,-0.0633,-0.5253,0
2.56,-1.6769,-1.3783,0.2088,-0.5529,0
2.58,-3.2473,-1.3688,0.4774,-0.5803,0
2.60,-4.8002,-1.3539,0.7433,-0.6074,0
2.62,-6.3299,-1.3338,1.0044,-0.6341,0
2.64,-7.8308,-1.3086,1.2597,-0.6603,0
2.66,-9.2974,-1.2784,1.5081,-0.6859,0
2.68,-10.7240,-1.2434,1.7486,-0.7108,0
2.70,-12.1053,-1.2038,1.9803,-0.7349,0
2.72,-13.4357,-1.1598,2.2024,-0.7581,0
2.74,-14.7096,-1.1115,2.4139,-0.7803,0
2.76,-15.9217,-1.0592,2.6142,-0.8015,0
2.78,-17.0721,-1.0031,2.8034,-0.8216,0
2.80,-18.1554,-0.9435,2.9809,-0.8405,0
2.82,-19.1662,-0.8806,3.1460,-0.8581,0
2.84,-20.0990,-0.8146,3.2981,-0.8744,0
2.86,-20.9541,-0.7458,3.4376,-0.8893,0
2.88,-21.7261,-0.6745,3.5637,-0.9028,0
2.90,-22.4153,-0.6010,3.6769,-0.9148,0
2.92,-23.0163,-0.5255,3.7767,-0.9253,0
2.94,-23.5294,-0.4482,3.8632,-0.9343,0
2.96,-23.9548,-0.3695,3.9367,-0.9417,0
2.98,-24.2873,-0.2896,3.9968,-0.9475,0
3.00,-24.5269,-0.2087,4.0434,-0.9517,0
3.02,-24.6741,-0.1272,4.0769,-0.9542,0
3.04,-24.7235,-0.0453,4.0965,-0.9551,0
3.06,-24.6811,0.0368,4.1031,-0.9544,1
3.08,-24.5470,0.1187,4.0965,-0.9520,0
3.10,-24.3162,0.2002,4.0738,-0.9480,0
3.12,-23.9945,0.2809,4.0355,-0.9424,0
3.14,-23.5824,0.3605,3.9815,-0.9352,0
3.16,-23.0803,0.4387,3.9118,-0.9264,0
3.18,-22.4884,0.5152,3.8262,-0.9161,0
3.20,-21.8129,0.5897,3.7258,-0.9043,0
3.22,-21.0541,0.6619,3.6103,-0.8911,0
3.24,-20.2180,0.7315,3.4808,-0.8765,0
3.26,-19.3050,0.7982,3.3370,-0.8605,0
3.28,-18.3155,0.8618,3.1791,-0.8433,0
3.30,-17.2610,0.9220,3.0088,-0.8249,0
3.32,-16.1420,0.9785,2.8262,-0.8053,0
3.34,-14.9587,1.0311,2.6313,-0.7847,0
3.36,-13.7228,1.0796,2.4261,-0.7631,0
3.38,-12.4346,1.1238,2.2105,-0.7406,0
3.40,-11.1000,1.1635,1.9858,-0.7173,0
3.42,-9.7248,1.1986,1.7530,-0.6933,0
3.44,-8.3150,1.2289,1.5131,-0.6687,0
3.46,-6.8764,1.2542,1.2674,-0.6436,0
3.48,-5.4151,1.2745,1.0171,-0.6181,0
3.50,-3.9366,1.2898,0.7632,-0.5923,0
3.52,-2.4467,1.2999,0.5071,-0.5663,0
3.54,-0.9513,1.3049,0.2498,-0.5402,0
3.56,0.5440,1.3048,-0.0074,-0.5141,0
3.58,2.0334,1.2995,-0.2634,-0.4881,0
3.60,3.5112,1.2892,-0.5171,-0.4623,0
3.62,4.9719,1.2739,-0.7672,-0.4368,0
3.64,6.4098,1.2536,-1.0127,-0.4117,0
3.66,7.8191,1.2285,-1.2526,-0.3871,0
3.68,9.1945,1.1988,-1.4858,-0.3631,0
3.70,10.5304,1.1646,-1.7115,-0.3398,0
3.72,11.8212,1.1260,-1.9286,-0.3173,0
3.74,13.0614,1.0833,-2.1363,-0.2956,0
3.76,14.2512,1.0366,-2.3347,-0.2749,0
3.78,15.3794,0.9862,-2.5221,-0.2552,0
3.80,16.4464,0.9322,-2.6988,-0.2366,0
3.82,17.4464,0.8749,-2.8639,-0.2191,0
3.84,18.3799,0.8145,-3.0177,-0.2028,0
3.86,19.2413,0.7513,-3.1597,-0.1878,0
3.88,20.0254,0.6855,-3.2891,-0.1741,0
3.90,20.7323,0.6174,-3.4062,-0.1618,0
3.92,21.3566,0.5472,-3.5104,-0.1509,0
3.94,21.8986,0.4752,-3.6021,-0.1414,0
3.96,22.3585,0.4016,-3.6813,-0.1334,0
3.98,22.7310,0.3266,-3.7476,-0.1269,0
4.00,23.0163,0.2506,-3.8010,-0.1219,0
4.02,23.2148,0.1738,-3.8418,-0.1184,0
4.04,23.3266,0.0964,-3.8701,-0.1165,0
4.06,23.3465,0.0187,-3.8852,-0.1161,0
4.08,23.2803,-0.0591,-3.8879,-0.1173,1
4.10,23.1226,-0.1366,-3.8767,-0.1200,0
4.12,22.8797,-0.2136,-3.8508,-0.1243,0
4.14,22.5461,-0.2898,-3.8093,-0.1301,0
4.16,22.1277,-0.3649,-3.7530,-0.1374,0
4.18,21.6250,-0.4385,-3.6818,-0.1462,0
4.20,21.0385,-0.5104,-3.5958,-0.1564,0
4.22,20.3739,-0.5803,-3.4958,-0.1680,0
4.24,19.6318,-0.6479,-3.3817,-0.1810,0
4.26,18.8125,-0.7130,-3.2536,-0.1953,0
4.28,17.9218,-0.7752,-3.1122,-0.2108,0
4.30,16.9659,-0.8344,-2.9587,-0.2275,0
4.32,15.9450,-0.8903,-2.7929,-0.2453,0
4.34,14.8652,-0.9426,-2.6158,-0.2642,0
4.36,13.7267,-0.9911,-2.4274,-0.2840,0
4.38,12.5412,-1.0357,-2.2298,-0.3047,0
4.40,11.3088,-1.0762,-2.0230,-0.3262,0
4.42,10.0354,-1.1124,-1.8081,-0.3484,0
4.44,8.7271,-1.1441,-1.5862,-0.3713,0
4.46,7.3839,-1.1712,-1.3574,-0.3947,0
4.48,6.0175,-1.1937,-1.1238,-0.4186,0
4.50,4.6278,-1.2114,-0.8857,-0.4428,0
4.52,3.2265,-1.2243,-0.6450,-0.4673,0
4.54,1.8135,-1.2323,-0.4021,-0.4919,0
4.56,0.4004,-1.2355,-0.1591,-0.5166,0
4.58,-1.0129,-1.2338,0.0840,-0.5413,0
4.60,-2.4206,-1.2273,0.3259,-0.5658,0
4.62,-3.8114,-1.2160,0.5645,-0.5901,0
4.64,-5.1853,-1.2000,0.7997,-0.6141,0
4.66,-6.5368,-1.1794,1.0306,-0.6377,0
4.68,-7.8602,-1.1543,1.2560,-0.6608,0
4.70,-9.1500,-1.1248,1.4750,-0.6833,0
4.72,-10.4005,-1.0911,1.6865,-0.7051,0
4.74,-11.6063,-1.0533,1.8898,-0.7262,0
4.76,-12.7674,-1.0116,2.0849,-0.7464,0
4.78,-13.8728,-0.9662,2.2700,-0.7657,0
4.80,-14.9225,-0.9173,2.4452,-0.7840,0
4.82,-15.9112,-0.8651,2.6099,-0.8013,0
4.84,-16.8391,-0.8098,2.7642,-0.8175,0
4.86,-17.7006,-0.7517,2.9074,-0.8325,0
4.88,-18.4905,-0.6909,3.0389,-0.8463,0
4.90,-19.2087,-0.6277,3.1588,-0.8589,0
4.92,-19.8558,-0.5624,3.2674,-0.8701,0
4.94,-20.4204,-0.4951,3.3632,-0.8800,0
4.96,-20.9086,-0.4262,3.4472,-0.8885,0
4.98,-21.3150,-0.3558,3.5189,-0.8956,0
5.00,-21.6398,-0.2842,3.5784,-0.9013,0
5.02,-21.8833,-0.2117,3.6258,-0.9055,0
5.04,-22.0400,-0.1385,3.6605,-0.9083,0
5.06,-22.1161,-0.0648,3.6834,-0.9096,0
5.08,-22.1058,0.0091,3.6937,-0.9094,1
5.10,-22.0098,0.0829,3.6915,-0.9077,0
5.12,-21.8282,0.1564,3.6754,-0.9046,0
5.14,-21.5670,0.2293,3.6454,-0.9000,0
5.16,-21.2209,0.3013,3.6007,-0.8940,0
5.18,-20.7960,0.3721,3.5420,-0.8866,0
5.20,-20.2925,0.4415,3.4695,-0.8778,0
5.22,-19.7108,0.5092,3.3830,-0.8676,0
5.24,-19.0511,0.5749,3.2825,-0.8561,0
5.26,-18.3195,0.6383,3.1690,-0.8433,0
5.28,-17.5164,0.6991,3.0424,-0.8293,0
5.30,-16.6477,0.7572,2.9036,-0.8142,0
5.32,-15.7194,0.8123,2.7535,-0.7980,0
5.34,-14.7318,0.8641,2.5922,-0.7807,0
5.36,-13.6852,0.9125,2.4198,-0.7625,0
5.38,-12.5911,0.9573,2.2381,-0.7434,0
5.40,-11.4498,0.9982,2.0473,-0.7234,0
5.42,-10.2616,1.0351,1.8474,-0.7027,0
5.44,-9.0380,1.0679,1.6404,-0.6813,0
5.46,-7.7792,1.0964,1.4266,-0.6594,0
5.48,-6.4968,1.1206,1.2079,-0.6370,0
5.50,-5.1907,1.1403,0.9845,-0.6142,0
5.52,-3.8670,1.1555,0.7575,-0.5911,0
5.54,-2.5313,1.1661,0.5282,-0.5678,0
5.56,-1.1895,1.1720,0.2975,-0.5444,0
5.58,0.1527,1.1733,0.0667,-0.5209,0
5.60,1.4954,1.1700,-0.1642,-0.4975,0
5.62,2.8271,1.1621,-0.3929,-0.4743,0
5.64,4.1421,1.1497,-0.6185,-0.4513,0
5.66,5.4406,1.1329,-0.8408,-0.4286,0
5.68,6.7170,1.1117,-1.0589,-0.4064,0
5.70,7.9598,1.0863,-1.2707,-0.3847,0
5.72,9.1693,1.0568,-1.4762,-0.3636,0
5.74,10.3399,1.0233,-1.6746,-0.3431,0
5.76,11.4717,0.9860,-1.8658,-0.3234,0
5.78,12.5535,0.9450,-2.0481,-0.3045,0
5.80,13.5854,0.9006,-2.2215,-0.2865,0
5.82,14.5621,0.8529,-2.3853,-0.2694,0
5.84,15.4837,0.8021,-2.5397,-0.2534,0
5.86,16.3389,0.7484,-2.6829,-0.2384,0
5.88,17.1337,0.6921,-2.8160,-0.2246,0
5.90,17.8571,0.6333,-2.9376,-0.2119,0
5.92,18.5149,0.5723,-3.0486,-0.2005,0
5.94,19.0959,0.5093,-3.1475,-0.1903,0
5.96,19.6061,0.4446,-3.2354,-0.1814,0
5.98,20.0401,0.3784,-3.3116,-0.1738,0
6.00,20.3982,0.3109,-3.3763,-0.1676,0
6.02,20.6749,0.2423,-3.4287,-0.1628,0
6.04,20.8704,0.1729,-3.4690,-0.1593,0
6.06,20.9907,0.1029,-3.4982,-0.1572,0
6.08,21.0304,0.0326,-3.5156,-0.1565,0
6.10,20.9899,-0.0378,-3.5210,-0.1573,1
6.12,20.8635,-0.1081,-3.5134,-0.1595,0
6.14,20.6574,-0.1779,-3.4923,-0.1631,0
6.16,20.3720,-0.2470,-3.4572,-0.1680,0
6.18,20.0131,-0.3152,-3.4093,-0.1743,0
6.20,19.5754,-0.3821,-3.3474,-0.1819,0
6.22,19.0650,-0.4476,-3.2726,-0.1909,0
6.24,18.4764,-0.5113,-3.1839,-0.2011,0
6.26,17.8213,-0.5730,-3.0830,-0.2126,0
6.28,17.0943,-0.6324,-2.9691,-0.2252,0
6.30,16.3071,-0.6893,-2.8441,-0.2390,0
6.32,15.4544,-0.7434,-2.7069,-0.2539,0
6.34,14.5421,-0.7946,-2.5585,-0.2698,0
6.36,13.5760,-0.8426,-2.4000,-0.2867,0
6.38,12.5566,-0.8872,-2.2313,-0.3044,0
6.40,11.4954,-0.9283,-2.0545,-0.3230,0
6.42,10.3869,-0.9657,-1.8685,-0.3423,0
6.44,9.2426,-0.9992,-1.6756,-0.3623,0
6.46,8.0629,-1.0287,-1.4757,-0.3829,0
6.48,6.8535,-1.0541,-1.2699,-0.4040,0
6.50,5.6203,-1.0753,-1.0594,-0.4255,0
6.52,4.3691,-1.0922,-0.8452,-0.4473,0
6.54,3.1056,-1.1048,-0.6285,-0.4694,0
6.56,1.8300,-1.1130,-0.4094,-0.4917,0
6.58,0.5479,-1.1168,-0.1890,-0.5140,0
6.60,-0.7291,-1.1162,0.0305,-0.5363,0
6.62,-2.0011,-1.1112,0.2492,-0.5585,0
6.64,-3.2624,-1.1019,0.4658,-0.5805,0
6.66,-4.5073,-1.0883,0.6793,-0.6023,0
6.68,-5.7360,-1.0705,0.8897,-0.6237,0
6.70,-6.9370,-1.0486,1.0949,-0.6447,0
